# id;truck;length;width;weight;
1;157;2;1;1;
2;178;1;1;1;
3;94;1;1;1;
4;193;9;3;1;
5;33;3;2;1;
6;122;3;2;20;
7;152;10;8;1;
8;114;3;2;1;
9;167;2;1;1;
10;35;8;2;1;
11;134;3;1;1;
12;69;1;1;1;
13;192;2;1;1;
14;197;3;1;1;
15;101;2;1;1;
16;73;9;7;1;
17;70;1;1;1;
18;189;8;2;1;
19;186;9;5;440;
20;179;9;7;1;
21;183;3;3;1;
22;193;3;2;1;
23;157;2;1;122;
24;58;10;2;189;
25;148;7;4;1;
26;37;2;1;1;
27;159;8;7;1;
28;32;2;2;1;
29;147;9;5;300;
30;15;9;4;1;
31;118;11;8;1;
32;4;1;1;1;
33;96;9;6;1;
34;25;2;1;1;
35;8;2;1;1;
36;48;5;4;1;
37;52;3;3;1;
38;168;2;1;1;
39;3;10;8;1;
40;121;3;1;1;
41;118;2;1;177;
42;66;3;1;1;
43;199;8;5;1;
44;56;2;1;1;
45;75;3;2;1;
46;132;8;7;1;
47;200;6;4;1;
48;27;3;2;1;
49;118;3;2;1;
50;112;8;1;181;
51;56;3;2;269;
52;100;9;6;1;
53;159;1;1;1;
54;116;7;3;1;
55;194;2;1;1;
56;189;3;3;1;
57;97;1;1;1;
58;129;9;5;1;
59;87;3;1;1;
60;66;3;2;1;
61;27;2;1;1;
62;121;6;1;1;
63;168;1;1;1;
64;100;6;5;73;
65;188;1;1;1;
66;183;11;8;1;
67;161;10;5;1;
68;73;4;3;369;
69;144;7;6;1;
70;101;3;1;1;
71;146;3;2;1;
72;138;4;2;1;
73;25;3;1;1;
74;152;2;1;1;
75;99;5;2;1;
76;89;2;2;1;
77;167;5;3;1;
78;74;3;1;1;
79;143;3;1;1;
80;101;1;1;1;
81;7;1;1;1;
82;196;9;6;1;
83;128;3;1;1;
84;18;8;4;1;
85;21;3;3;1;
86;26;3;2;1;
87;43;10;1;1;
88;75;5;2;1;
89;97;2;1;1;
90;58;7;7;1;
91;14;3;1;1;
92;99;6;3;1;
93;46;2;1;1;
94;97;9;7;1;
95;94;8;3;1;
96;33;3;2;1;
97;59;1;1;1;
98;43;9;4;1;
99;7;6;2;1;
100;151;10;10;1;
101;33;3;1;1;
102;115;3;2;1;
103;117;1;1;1;
104;156;3;2;1;
105;63;3;1;1;
106;159;4;1;1;
107;80;2;1;1;
108;67;9;3;1;
109;169;9;3;1;
110;14;3;2;1;
111;63;9;5;1;
112;33;2;2;1;
113;169;10;10;1;
114;74;2;2;1;
115;139;3;3;1;
116;139;1;1;1;
117;195;3;1;1;
118;158;2;2;1;
119;31;3;2;1;
120;127;3;3;1;
121;44;1;1;1;
122;61;2;2;1;
123;12;3;1;1;
124;9;2;1;1;
125;70;3;1;1;
126;8;3;3;1;
127;90;8;5;1;
128;6;3;2;1;
129;153;3;3;1;
130;58;10;1;1;
131;22;1;1;1;
132;169;10;8;1;
133;148;1;1;1;
134;32;10;10;1;
135;9;1;1;1;
136;147;3;1;1;
137;121;2;1;1;
138;193;4;4;1;
139;110;3;1;1;
140;20;3;1;1;
141;120;2;2;1;
142;17;1;1;1;
143;24;2;1;1;
144;116;4;1;1;
